<< START AND END TIMES ARE VALID >>
<< TIME COLUMN VALUES HAVE VALID FORMAT >>
<< MISSING TIME INTERVALS: >>
date,time,volume,id
14/09/2022,00:05,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,00:25,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,00:45,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,01:10,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,01:40,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,02:05,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,02:50,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,03:00,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,03:30,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,04:25,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,05:35,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,05:40,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,05:50,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,06:15,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,06:40,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,07:00,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,07:15,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,08:50,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,08:55,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,09:05,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,09:10,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,09:20,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,10:00,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,12:25,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,13:30,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,14:05,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,14:20,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,16:25,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,17:55,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,18:20,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,18:30,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,19:35,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,19:40,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,20:00,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,20:20,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,21:10,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,21:30,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,21:50,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,21:55,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,22:25,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,22:40,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,22:55,,002388e245b64dc9b5998129d50ca8e2
14/09/2022,00:45,,016f9c88878a4220866db1c5b75ea159
14/09/2022,02:35,,016f9c88878a4220866db1c5b75ea159
14/09/2022,02:55,,016f9c88878a4220866db1c5b75ea159
14/09/2022,03:00,,016f9c88878a4220866db1c5b75ea159
14/09/2022,03:40,,016f9c88878a4220866db1c5b75ea159
14/09/2022,04:15,,016f9c88878a4220866db1c5b75ea159
14/09/2022,05:00,,016f9c88878a4220866db1c5b75ea159
14/09/2022,05:25,,016f9c88878a4220866db1c5b75ea159
14/09/2022,06:35,,016f9c88878a4220866db1c5b75ea159
14/09/2022,07:20,,016f9c88878a4220866db1c5b75ea159
14/09/2022,07:40,,016f9c88878a4220866db1c5b75ea159
14/09/2022,08:30,,016f9c88878a4220866db1c5b75ea159
14/09/2022,09:00,,016f9c88878a4220866db1c5b75ea159
14/09/2022,10:20,,016f9c88878a4220866db1c5b75ea159
14/09/2022,12:00,,016f9c88878a4220866db1c5b75ea159
14/09/2022,12:30,,016f9c88878a4220866db1c5b75ea159
14/09/2022,14:10,,016f9c88878a4220866db1c5b75ea159
14/09/2022,14:20,,016f9c88878a4220866db1c5b75ea159
14/09/2022,14:35,,016f9c88878a4220866db1c5b75ea159
14/09/2022,15:05,,016f9c88878a4220866db1c5b75ea159
14/09/2022,18:05,,016f9c88878a4220866db1c5b75ea159
14/09/2022,19:45,,016f9c88878a4220866db1c5b75ea159
14/09/2022,20:35,,016f9c88878a4220866db1c5b75ea159
